Customer_Ref,Customer_Hash,City,State_Full,Customer_Key
DE-CUST-6350,0x65f661d8,Lüdinghausen,Berlin,111
DE-CUST-5090,0xb008154d,Schwäbisch Gmünd,Hessen,112
DE-CUST-9384,0x4c4b5f31,Gotha,Berlin,113
DE-CUST-3852,0x4fc92997,Staffelstein,Berlin,114
DE-CUST-6153,0x1b85f2d2,Querfurt,Sachsen,115
DE-CUST-4083,0xe5ef76a3,Seelow,Sachsen,116
DE-CUST-357,0x4366f936,Soest,Berlin,117
DE-CUST-9493,0xa7992b76,Dessau,Hessen,118
DE-CUST-7358,0xfaf29c13,Neustrelitz,Sachsen,119
DE-CUST-8326,0x7c37084e,Eberswalde,Bayern,120
DE-CUST-9310,0xe4b39476,Sondershausen,Hessen,121
DE-CUST-4906,0xab958ba9,Norden,Hessen,122
DE-CUST-6849,0xa9b58a02,Stendal,Nordrhein-Westfalen,123
DE-CUST-6313,0x89bba4b5,Hainichen,Sachsen,124
DE-CUST-5588,0xdb087e96,Melsungen,Berlin,125
DE-CUST-8725,0x6c289036,Bützow,Hessen,126
DE-CUST-3679,0xde667bf9,Rastatt,Nordrhein-Westfalen,127
DE-CUST-8669,0xc243292d,Rochlitz,Berlin,128
DE-CUST-4372,0x6f036ce8,Herzberg,Berlin,129
DE-CUST-3857,0x661b4d3d,Ebermannstadt,Sachsen,130
DE-CUST-6104,0xc364c415,Rottweil,Sachsen,131
DE-CUST-4779,0xe7c7b807,Bad Liebenwerda,Hessen,132
DE-CUST-8827,0x371e8c43,Aurich,Bayern,133
DE-CUST-7893,0x35824d65,Schwandorf,Bayern,134
DE-CUST-3886,0xb1b330df,Sebnitz,Hessen,135
DE-CUST-3175,0xa60965b0,Querfurt,Bayern,136
DE-CUST-8220,0x9dd0160,Göttingen,Bayern,137
DE-CUST-7646,0xad150928,Burg,Bayern,138
DE-CUST-3993,0x7117b96,Kulmbach,Sachsen,139
DE-CUST-7791,0xa842f182,Staffelstein,Nordrhein-Westfalen,140
DE-CUST-5097,0x46e6741,Bützow,Sachsen,141
DE-CUST-2976,0x7eee9d86,Waren,Bayern,142
DE-CUST-5956,0x49397492,Soest,Bayern,143
DE-CUST-4649,0x52724f0c,Dieburg,Bayern,144
DE-CUST-8641,0xa5a428dd,Erbisdorf,Berlin,145
DE-CUST-6205,0x2fbda377,Kleve,Sachsen,146
DE-CUST-2150,0x4190c7b8,Pinneberg,Hessen,147
DE-CUST-8122,0x609d032d,Jülich,Hessen,148
DE-CUST-4000,0x8830eb4f,Weimar,,149
DE-CUST-8489,0xc3f04671,Sebnitz,Bayern,150
DE-CUST-7636,0x1ca29ecd,Eisenach,Bayern,151
DE-CUST-3995,0xee849746,Bamberg,Berlin,152
DE-CUST-4955,0xf55cfa80,Schwarzenberg,Nordrhein-Westfalen,153
DE-CUST-8611,0xa686f38d,Wismar,Nordrhein-Westfalen,154
DE-CUST-3426,0xebf69aa5,Viechtach,Bayern,155
DE-CUST-5351,0x300c06b4,Wernigerode,Bayern,156
DE-CUST-6079,0x68f59029,Schwarzenberg,Bayern,157
DE-CUST-6194,0x4d5849df,Genthin,Hessen,158
DE-CUST-336,0xc57f51cf,Jena,Nordrhein-Westfalen,159
DE-CUST-7153,0x7abd32ac,Gräfenhainichen,Nordrhein-Westfalen,160
DE-CUST-6969,0xdbd12aff,Passau,Berlin,161
DE-CUST-3623,0x769dcac,Aurich,Bayern,162
DE-CUST-4346,0x245c38f9,Bersenbrück,Bayern,163
DE-CUST-1397,0x9d05306b,Vohenstrauß,Nordrhein-Westfalen,164
DE-CUST-8843,0xabe81ca3,Rottweil,Berlin,165
DE-CUST-7377,0x161a32f3,Zossen,Sachsen,166
DE-CUST-9413,0xb825e089,Rudolstadt,Hessen,167
DE-CUST-2821,0xf5fab600,Nördlingen,Bayern,168
DE-CUST-6742,0xd9252bd8,Roding,Berlin,169
DE-CUST-5190,0x5dd3c95b,Viechtach,Hessen,170
DE-CUST-9768,0xfeea158a,Bad Liebenwerda,Berlin,171
DE-CUST-5777,0x807aa447,Havelberg,Sachsen,172
DE-CUST-4866,0x106700aa,Crailsheim,Sachsen,173
DE-CUST-2157,0xdbc7df72,Roding,Berlin,174
DE-CUST-1900,0xd4992a5d,Neuss,Nordrhein-Westfalen,175
DE-CUST-3330,0x4dd43090,Wernigerode,Hessen,176
DE-CUST-9556,0xe6abfdc,Darmstadt,Sachsen,177
DE-CUST-3678,0x50274156,Lüdenscheid,Nordrhein-Westfalen,178
DE-CUST-418,0xcce20cab,Gütersloh,Bayern,179
DE-CUST-8275,0xd7968942,Gransee,Hessen,180
DE-CUST-4252,0x71f63989,Hettstedt,Berlin,181
DE-CUST-1561,0x50b71b89,Füssen,Sachsen,182
DE-CUST-9955,0x90d03cc4,Staßfurt,Sachsen,183
DE-CUST-8186,0xb89dc6f4,Aurich,Berlin,184
DE-CUST-9395,0x6737f754,Vechta,Hessen,185
DE-CUST-5785,0x39a2a540,Scheinfeld,Sachsen,186
DE-CUST-13,0xf426f8b8,Pegnitz,Bayern,187
DE-CUST-2653,0x419db02a,Reutlingen,Bayern,188
DE-CUST-7365,0x50937471,Weißwasser,Hessen,189
DE-CUST-5965,0x2f56cf07,Rudolstadt,Berlin,190
DE-CUST-4053,0x5c4b6137,Aachen,Bayern,191
DE-CUST-9381,0x5672173f,Illertissen,Sachsen,192
DE-CUST-170,0x1598c72a,Genthin,Berlin,193
DE-CUST-2143,0xd0fb551b,Freudenstadt,Hessen,194
DE-CUST-7829,0xcd1af8e5,Hofgeismar,Bayern,195
DE-CUST-119,0xeb2f328a,Lichtenfels,Berlin,196
DE-CUST-3917,0x837f1f9a,Nördlingen,Sachsen,197
DE-CUST-141,0xa42d5ba4,Burgdorf,Bayern,198
DE-CUST-1901,0xbc1f1673,Darmstadt,Sachsen,199
DE-CUST-1519,0x66be0457,Torgau,Hessen,200
DE-CUST-6425,0xa63b558b,Zschopau,Nordrhein-Westfalen,201
DE-CUST-6103,0x6cc03131,Coburg,Hessen,202
DE-CUST-1950,0x698c52cd,Suhl,Bayern,203
DE-CUST-2054,0xa0d5571a,Aurich,Bayern,204
DE-CUST-6885,0xefbd8f49,Hansestadttralsund,Bayern,205
DE-CUST-9200,0xcd3ab15d,Dinkelsbühl,,206
DE-CUST-7552,0x87f9c7a6,Forchheim,Nordrhein-Westfalen,207
DE-CUST-9721,0xae9afa52,Bützow,Bayern,208
DE-CUST-8223,0x476610e1,Tirschenreuth,Nordrhein-Westfalen,209
DE-CUST-3324,0xbda021d5,Hohenstein-Ernstthal,Nordrhein-Westfalen,210
DE-CUST-7909,0xb5c3c236,Säckingen,Berlin,211
DE-CUST-7638,0xabb9526,Magdeburg,Bayern,212
DE-CUST-8420,0x191c5c00,Lüneburg,Hessen,213
DE-CUST-9739,0xb97d14a0,Weimar,Nordrhein-Westfalen,214
DE-CUST-16,0x893d8a77,Altötting,,215
DE-CUST-104,0x2506449e,Badoberan,Nordrhein-Westfalen,216
DE-CUST-9725,0x680d4f05,Hohenstein-Ernstthal,Hessen,217
DE-CUST-4518,0xb8b69c84,Schrobenhausen,Berlin,218
DE-CUST-5145,0x55b084c1,Garmisch-Partenkirchen,Berlin,219
DE-CUST-3594,0x72acab33,Quedlinburg,Berlin,220
DE-CUST-5404,0x7c2fcdd5,Sankt Goarshausen,Hessen,221
DE-CUST-5718,0x4dea1198,Wolfratshausen,Hessen,222
DE-CUST-3944,0x9dcb3065,Perleberg,Hessen,223
DE-CUST-6992,0x65092b6e,Auerbach,Hessen,224
DE-CUST-6318,0x2fa46792,Saulgau,Berlin,225
DE-CUST-9099,0x2c991caf,Düren,Bayern,226
DE-CUST-2520,0xc907b59b,Anklam,Bayern,227
DE-CUST-3184,0x87b65662,Rathenow,Berlin,228
DE-CUST-2885,0x8814a9c,Neunburg vorm Wald,Bayern,229
DE-CUST-4925,0xced93304,Witzenhausen,Berlin,230
DE-CUST-1464,0x2485ce4,Rothenburg ob der Tauber,Bayern,231
DE-CUST-2985,0x95fbcae,Marienberg,Sachsen,232
DE-CUST-7385,0x78d09fb6,Spremberg,Hessen,233
DE-CUST-7955,0xd84f084f,Aurich,Hessen,234
DE-CUST-9720,0xf504a86b,Lüdinghausen,Nordrhein-Westfalen,235
DE-CUST-5038,0x68355a29,Pfaffenhofen an der Ilm,Bayern,236
DE-CUST-2638,0xf9ee0bb,Klötze,Hessen,237
DE-CUST-1757,0xb924992a,Schongau,Hessen,238
DE-CUST-3186,0xff715101,Querfurt,Bayern,239
DE-CUST-2,0x4f19c75a,Soltau,Sachsen,240
DE-CUST-290,0x1959a54d,Pirmasens,Sachsen,241
DE-CUST-7248,0xe551fabc,Recklinghausen,Berlin,242
DE-CUST-1468,0x8089414f,Aurich,Nordrhein-Westfalen,243
DE-CUST-5277,0xcc610950,Neubrandenburg,Nordrhein-Westfalen,244
DE-CUST-5261,0x2d0949b2,Lörrach,Nordrhein-Westfalen,245
DE-CUST-4637,0xc1d96c13,Kötzting,,246
DE-CUST-2257,0x15f1a9,Rehau,Hessen,247
DE-CUST-7502,0xec3c694f,Bad Liebenwerda,Sachsen,248
DE-CUST-1944,0x71dcf3e,Witzenhausen,Nordrhein-Westfalen,249
DE-CUST-9580,0x66be7674,Merseburg,Bayern,250
DE-CUST-9359,0x39a48c72,Seelow,Sachsen,251
DE-CUST-3634,0x7815f6df,Ahaus,Bayern,252
DE-CUST-1623,0x961bf9fd,Ludwigsburg,Hessen,253
DE-CUST-6226,0xb78992f9,Rehau,Bayern,254
DE-CUST-3231,0x5ae6ca5e,Ueckermünde,,255
DE-CUST-307,0x588bf3cb,Guben,Hessen,256
DE-CUST-9505,0x3cdd1e76,Bernburg,Sachsen,257
DE-CUST-5660,0x90c9a57e,Soltau,Bayern,258
DE-CUST-5961,0xc6b56b1c,Bad Kreuznach,Berlin,259
DE-CUST-414,0x46db4820,Kehl,Hessen,260
DE-CUST-1715,0x2200a122,Saarlouis,Bayern,261
DE-CUST-6114,0x8cbd1304,Eisenach,Nordrhein-Westfalen,262
DE-CUST-53,0x6ab4604a,Hechingen,Sachsen,263
DE-CUST-8371,0x4ed4cde,Mühlhausen,Sachsen,264
DE-CUST-3674,0x4abf65f,Potsdam,Bayern,265
DE-CUST-5571,0xf93033de,Koblenz,Berlin,266
DE-CUST-144,0xeee640aa,Ochsenfurt,Hessen,267
DE-CUST-6139,0x5cee61ac,Bad Liebenwerda,,268
DE-CUST-498,0xd689cd0b,Hohenmölsen,,269
DE-CUST-6142,0xe840bb0,Gera,Nordrhein-Westfalen,270
DE-CUST-38,0x38c6d8d3,Lobenstein,Berlin,271
DE-CUST-2714,0x436c327f,Eggenfelden,Sachsen,272
DE-CUST-4230,0x7bb97e6,Warendorf,Berlin,273
DE-CUST-8116,0x3788dd0d,Helmstedt,Nordrhein-Westfalen,274
DE-CUST-4048,0xc8219ede,Fürstenfeldbruck,Bayern,275
DE-CUST-6568,0xc46d8316,Backnang,Hessen,276
DE-CUST-4683,0xc94319af,Wanzleben,Nordrhein-Westfalen,277
DE-CUST-2384,0xefe54ac5,Badalzungen,Sachsen,278
DE-CUST-2486,0xf1cd61cf,Regen,Sachsen,279
DE-CUST-4942,0x70a51ea9,Torgau,Berlin,280
DE-CUST-4447,0x7ac7aad9,Uffenheim,Nordrhein-Westfalen,281
DE-CUST-7648,0xdb50aa39,Karlsruhe,Nordrhein-Westfalen,282
DE-CUST-2114,0xf4606a04,Schlüchtern,Sachsen,283
DE-CUST-4454,0xff3b8605,Neunburg vorm Wald,Hessen,284
DE-CUST-6393,0x8e2839ed,Scheinfeld,Bayern,285
DE-CUST-2535,0x69f193e1,Grafenau,,286
DE-CUST-4151,0x64f92ac7,Weißenfels,Nordrhein-Westfalen,287
DE-CUST-5064,0x4cc20e9f,Regen,Berlin,288
DE-CUST-7269,0x4545b469,Hoyerswerda,Hessen,289
DE-CUST-8440,0x82a2237c,Fulda,Sachsen,290
DE-CUST-5431,0xc8ef7ad4,Gransee,Sachsen,291
DE-CUST-5669,0xcf94ecb5,Hohenstein-Ernstthal,Berlin,292
DE-CUST-4109,0x9fb71111,Nauen,Bayern,293
DE-CUST-9144,0x5a4426f8,Mühlhausen,,294
DE-CUST-4543,0x88506c90,Miesbach,Sachsen,295
DE-CUST-257,0x9c0e5aad,Günzburg,Berlin,296
DE-CUST-242,0xdd23156c,Quedlinburg,Berlin,297
DE-CUST-130,0x38811bc1,Parsberg,Bayern,298
DE-CUST-8799,0x84d73ecb,Teterow,Nordrhein-Westfalen,299
DE-CUST-4857,0x427b0669,Lüdenscheid,Berlin,300
DE-CUST-7760,0xd17520d5,Bad Langensalza,Berlin,301
DE-CUST-8346,0x133eea3e,Kelheim,Nordrhein-Westfalen,302
DE-CUST-6252,0x6e636400,Jessen,Bayern,303
DE-CUST-2107,0xeb70abb6,Vohenstrauß,Bayern,304
DE-CUST-2236,0xa257f70,Marienberg,Berlin,305
DE-CUST-8009,0xb2a83d06,Eggenfelden,,306
DE-CUST-8911,0x485fa14d,Freudenstadt,Bayern,307
DE-CUST-7697,0x678a1d8d,Erding,Hessen,308
DE-CUST-5551,0x5ce08f35,Bad Langensalza,Sachsen,309
DE-CUST-4589,0x5161d88f,Auerbach,Sachsen,310
DE-CUST-5225,0x3f9de114,Ebersberg,Sachsen,311
DE-CUST-9372,0x6ad52cc6,Dachau,Nordrhein-Westfalen,312
DE-CUST-4282,0xf2ac8d77,Kulmbach,Berlin,313
DE-CUST-2847,0x639d737b,Kitzingen,Hessen,314
DE-CUST-2452,0xf16ddf0e,Perleberg,Bayern,315
DE-CUST-6071,0xb4b24a59,Forst,Sachsen,316
DE-CUST-9361,0xf54cce0f,Melle,Hessen,317
DE-CUST-8614,0x3de730f2,Potsdam,Hessen,318
DE-CUST-4702,0x7dbf8f46,Moers,Sachsen,319
DE-CUST-8696,0x81161de7,Steinfurt,Nordrhein-Westfalen,320
DE-CUST-8630,0x9469841a,Senftenberg,Bayern,321
DE-CUST-3194,0xab4f331b,Güstrow,Sachsen,322
DE-CUST-2820,0xb8436a92,Erfurt,Nordrhein-Westfalen,323
DE-CUST-6571,0x7e2d2ffb,Gräfenhainichen,Bayern,324
DE-CUST-3350,0xcebe9500,Wesel,Nordrhein-Westfalen,325
DE-CUST-1916,0xb20c48de,Hannover,Hessen,326
DE-CUST-6304,0xfa7f5026,Fürstenfeldbruck,Sachsen,327
DE-CUST-4155,0x310d983b,Wismar,Nordrhein-Westfalen,328
DE-CUST-8038,0x46cf8145,Gelnhausen,Berlin,329
DE-CUST-8227,0x9aa56ee3,Kleve,Nordrhein-Westfalen,330
DE-CUST-3153,0x71c242b2,Tecklenburg,Bayern,331
DE-CUST-8472,0x1a7da0f0,Bautzen,Nordrhein-Westfalen,332
DE-CUST-8285,0xd542900d,Gransee,Hessen,333
DE-CUST-8577,0x55df93a6,Gifhorn,Hessen,334
DE-CUST-8352,0xe3fbed87,Neustrelitz,Nordrhein-Westfalen,335
DE-CUST-209,0x5aab7c82,Kyritz,Bayern,336
DE-CUST-542,0xa5b3e510,Gardelegen,Berlin,337
DE-CUST-5530,0x8b1e666b,Bogen,,338
DE-CUST-2416,0x4993cbdf,Gotha,Nordrhein-Westfalen,339
DE-CUST-9930,0xf25ba60,Wolfach,Sachsen,340
DE-CUST-699,0x1a5e9f9a,Mühldorf am Inn,Bayern,341
DE-CUST-823,0xa9f27f86,Hammelburg,Bayern,342
DE-CUST-3402,0x7c21baf3,Rostock,Hessen,343
DE-CUST-2677,0xcf9b7626,Deggendorf,Bayern,344
DE-CUST-4539,0xb208bde1,Altentreptow,Bayern,345
DE-CUST-7182,0xb41742fe,Fürstenwalde,Berlin,346
DE-CUST-7706,0x13286f76,Großenhain,Berlin,347
DE-CUST-9948,0x36393aa7,Eisenberg,Nordrhein-Westfalen,348
DE-CUST-7406,0x67c0c912,Hainichen,Nordrhein-Westfalen,349
DE-CUST-536,0x87802c,Neuss,Nordrhein-Westfalen,350
DE-CUST-1832,0x84f51375,Neustadtner Waldnaab,Hessen,351
DE-CUST-3819,0xe85361ab,Göttingen,Sachsen,352
DE-CUST-1914,0xa9946853,Ansbach,Bayern,353
DE-CUST-8712,0xdbda6824,Burglengenfeld,Bayern,354
DE-CUST-2469,0xf7cb91b2,Rochlitz,Berlin,355
DE-CUST-2866,0x435b41f4,Peine,Nordrhein-Westfalen,356
DE-CUST-1282,0x4c4e08f0,Grafenau,Bayern,357
DE-CUST-5911,0x7f15aa2a,Querfurt,Sachsen,358
DE-CUST-58,0x7914bd43,Bremen,Nordrhein-Westfalen,359
DE-CUST-1698,0xcdcaea91,Potsdam,Hessen,360
DE-CUST-4323,0x7799fc76,Calau,Hessen,361
DE-CUST-3765,0x87abcca1,Pfaffenhofen an der Ilm,Hessen,362
DE-CUST-8239,0xfbc5b603,Lichtenfels,Nordrhein-Westfalen,363
DE-CUST-9422,0x2a66e431,Anklam,,364
DE-CUST-4947,0xe86421f7,Backnang,,365
DE-CUST-811,0x5c2bcd89,Waren,Nordrhein-Westfalen,366
DE-CUST-7711,0x40a0aef3,Kelheim,Hessen,367
DE-CUST-6428,0x75667c4c,Cuxhaven,Nordrhein-Westfalen,368
DE-CUST-1425,0xd2093f7e,Hamburg,Bayern,369
DE-CUST-5390,0xdd01afcf,Iserlohn,Sachsen,370
DE-CUST-4110,0x2c58a25f,Fallingbostel,Sachsen,371
DE-CUST-7695,0xc0996681,Erkelenz,Hessen,372
DE-CUST-8996,0xe0febd99,Schweinfurt,Sachsen,373
DE-CUST-9106,0xfe46d914,Ilmenau,Bayern,374
DE-CUST-9077,0xf11ef7bb,Miltenberg,Bayern,375
DE-CUST-1591,0x277b57fb,Günzburg,Bayern,376
DE-CUST-7439,0xe5adc6b2,Kitzingen,Berlin,377
DE-CUST-9229,0xbc8a5a38,Fürstenfeldbruck,Nordrhein-Westfalen,378
DE-CUST-9461,0xda627083,Rastatt,Sachsen,379
DE-CUST-900,0x77cc89c3,Osterode am Harz,Hessen,380
DE-CUST-8460,0x3f3b476c,Schwabmünchen,Bayern,381
DE-CUST-7024,0xbecdf531,Regen,Sachsen,382
DE-CUST-8951,0x9a2f0ee4,Gütersloh,Berlin,383
DE-CUST-8906,0xd3b7fd7b,Bruchsal,Hessen,384
DE-CUST-424,0xbc354c2a,Apolda,Bayern,385
DE-CUST-2759,0x34c7486f,Grimma,Sachsen,386
DE-CUST-7657,0x3a8f4250,Wernigerode,Nordrhein-Westfalen,387
DE-CUST-110,0xfc627365,Schleiz,Sachsen,388
DE-CUST-9884,0x3495e740,Grevenbroich,Sachsen,389
DE-CUST-2646,0x11098865,Niesky,Bayern,390
DE-CUST-2473,0x3fa0182c,Haldensleben,Berlin,391
DE-CUST-7738,0xc6777e01,Germersheim,Bayern,392
DE-CUST-2268,0x34bbe099,Potsdam,Berlin,393
DE-CUST-9477,0x4dac19a9,Wittmund,Sachsen,394
DE-CUST-4104,0x20bea38,Borna,Hessen,395
DE-CUST-2446,0xad79eb57,Augsburg,Hessen,396
DE-CUST-4445,0x97ca8d75,Wertingen,Hessen,397
DE-CUST-5283,0xdd332ed6,Nauen,Nordrhein-Westfalen,398
DE-CUST-9492,0x1eb21090,Greiz,Nordrhein-Westfalen,399
DE-CUST-8212,0x98bdb34d,Sebnitz,Hessen,400
DE-CUST-4556,0x758563d0,Hagenow,Berlin,401
DE-CUST-8825,0x6c0025f3,Klötze,Berlin,402
DE-CUST-6235,0x8876f34,Sangerhausen,Nordrhein-Westfalen,403
DE-CUST-2515,0x1bc51a1f,Osterode am Harz,Sachsen,404
DE-CUST-6420,0xd9ee048f,Wittenberg,Bayern,405
DE-CUST-3469,0x29f3c36b,Wolgast,Bayern,406
DE-CUST-6549,0x74757cc6,Gießen,Sachsen,407
DE-CUST-6063,0x25e45655,Augsburg,Hessen,408
DE-CUST-8375,0xc299c41b,Ansbach,Berlin,409
DE-CUST-2707,0x40cf7efc,Lübben,Sachsen,410
DE-CUST-3676,0x89ee9e3f,Badoberan,,411
DE-CUST-3236,0x7db9b58f,Lübeck,Nordrhein-Westfalen,412
DE-CUST-4746,0x6188cdbf,Weimar,,413
DE-CUST-3093,0xd9cc2a8c,Biedenkopf,Sachsen,414
DE-CUST-7346,0x97a2807d,Neustrelitz,Berlin,415
DE-CUST-5970,0xe17ea6ec,Schweinfurt,Nordrhein-Westfalen,416
