Transaction_ID,Logistics_Key,Channel,Processing_Time_Days,Alert_Type
TXN-134156,182,Mobile,9.0,PROCESSING_DELAY_P90
TXN-106645,183,Desktop,9.0,PROCESSING_DELAY_P90
TXN-132121,189,In-Store,10.0,PROCESSING_DELAY_P90
TXN-142405,190,Desktop,9.0,PROCESSING_DELAY_P90
TXN-109971,194,App,10.0,PROCESSING_DELAY_P90
TXN-152288,201,In-Store,9.0,PROCESSING_DELAY_P90
TXN-141668,19,App,10.0,PROCESSING_DELAY_P90
TXN-133364,206,App,9.0,PROCESSING_DELAY_P90
TXN-149256,208,Desktop,10.0,PROCESSING_DELAY_P90
TXN-147064,219,App,10.0,PROCESSING_DELAY_P90
TXN-125567,221,Mobile,10.0,PROCESSING_DELAY_P90
TXN-140528,222,Desktop,10.0,PROCESSING_DELAY_P90
TXN-117898,225,Mobile,9.0,PROCESSING_DELAY_P90
TXN-152618,229,In-Store,9.0,PROCESSING_DELAY_P90
TXN-118755,232,App,9.0,PROCESSING_DELAY_P90
TXN-140874,233,App,10.0,PROCESSING_DELAY_P90
TXN-120110,237,Desktop,10.0,PROCESSING_DELAY_P90
TXN-153572,19,In-Store,9.0,PROCESSING_DELAY_P90
TXN-126468,241,App,10.0,PROCESSING_DELAY_P90
TXN-113927,244,App,9.0,PROCESSING_DELAY_P90
TXN-142577,246,In-Store,10.0,PROCESSING_DELAY_P90
TXN-145025,258,App,9.0,PROCESSING_DELAY_P90
TXN-121447,266,App,10.0,PROCESSING_DELAY_P90
TXN-107671,267,App,9.0,PROCESSING_DELAY_P90
TXN-104127,273,In-Store,9.0,PROCESSING_DELAY_P90
TXN-149596,19,Mobile,10.0,PROCESSING_DELAY_P90
TXN-122796,277,Mobile,9.0,PROCESSING_DELAY_P90
TXN-111258,19,App,9.0,PROCESSING_DELAY_P90
TXN-124876,284,In-Store,9.0,PROCESSING_DELAY_P90
TXN-138308,19,Mobile,10.0,PROCESSING_DELAY_P90
TXN-142917,295,Desktop,10.0,PROCESSING_DELAY_P90
TXN-153880,315,Desktop,9.0,PROCESSING_DELAY_P90
TXN-120702,317,Mobile,10.0,PROCESSING_DELAY_P90
TXN-149703,319,Desktop,9.0,PROCESSING_DELAY_P90
TXN-134998,321,In-Store,10.0,PROCESSING_DELAY_P90
TXN-110602,323,In-Store,9.0,PROCESSING_DELAY_P90
TXN-120578,326,Mobile,10.0,PROCESSING_DELAY_P90
TXN-109897,332,Mobile,9.0,PROCESSING_DELAY_P90
TXN-146640,348,Mobile,9.0,PROCESSING_DELAY_P90
TXN-149372,349,Desktop,9.0,PROCESSING_DELAY_P90
TXN-148427,350,In-Store,9.0,PROCESSING_DELAY_P90
TXN-150773,353,In-Store,10.0,PROCESSING_DELAY_P90
TXN-119410,368,App,10.0,PROCESSING_DELAY_P90
TXN-139623,371,Mobile,9.0,PROCESSING_DELAY_P90
TXN-150289,372,In-Store,10.0,PROCESSING_DELAY_P90
TXN-125804,374,In-Store,9.0,PROCESSING_DELAY_P90
TXN-133270,393,In-Store,10.0,PROCESSING_DELAY_P90
TXN-117931,395,In-Store,9.0,PROCESSING_DELAY_P90
TXN-128737,400,Mobile,9.0,PROCESSING_DELAY_P90
TXN-102945,401,Desktop,9.0,PROCESSING_DELAY_P90
TXN-109415,404,In-Store,10.0,PROCESSING_DELAY_P90
TXN-152808,19,App,10.0,PROCESSING_DELAY_P90
TXN-122456,413,Mobile,9.0,PROCESSING_DELAY_P90
TXN-147843,418,In-Store,9.0,PROCESSING_DELAY_P90
TXN-139311,420,In-Store,10.0,PROCESSING_DELAY_P90
TXN-128448,426,App,10.0,PROCESSING_DELAY_P90
TXN-117462,430,Mobile,9.0,PROCESSING_DELAY_P90
TXN-119896,432,Desktop,10.0,PROCESSING_DELAY_P90
TXN-134440,19,App,10.0,PROCESSING_DELAY_P90
TXN-102229,438,App,9.0,PROCESSING_DELAY_P90
TXN-103740,448,Desktop,10.0,PROCESSING_DELAY_P90
TXN-129638,451,Desktop,10.0,PROCESSING_DELAY_P90
TXN-101988,457,Desktop,10.0,PROCESSING_DELAY_P90
TXN-111857,458,Desktop,10.0,PROCESSING_DELAY_P90
TXN-151022,466,In-Store,10.0,PROCESSING_DELAY_P90
TXN-111219,475,Mobile,9.0,PROCESSING_DELAY_P90
TXN-146940,478,Desktop,9.0,PROCESSING_DELAY_P90
TXN-138328,483,In-Store,9.0,PROCESSING_DELAY_P90
TXN-121069,484,App,10.0,PROCESSING_DELAY_P90
TXN-120752,494,Mobile,10.0,PROCESSING_DELAY_P90
TXN-124091,501,Desktop,9.0,PROCESSING_DELAY_P90
TXN-128733,514,Mobile,9.0,PROCESSING_DELAY_P90
TXN-103591,515,Desktop,10.0,PROCESSING_DELAY_P90
TXN-134825,19,In-Store,10.0,PROCESSING_DELAY_P90
TXN-133330,517,Desktop,10.0,PROCESSING_DELAY_P90
TXN-148243,521,Desktop,10.0,PROCESSING_DELAY_P90
TXN-118350,529,Mobile,9.0,PROCESSING_DELAY_P90
TXN-149880,545,In-Store,10.0,PROCESSING_DELAY_P90
TXN-124935,19,Mobile,9.0,PROCESSING_DELAY_P90
TXN-124338,553,Desktop,10.0,PROCESSING_DELAY_P90
TXN-124348,554,Desktop,10.0,PROCESSING_DELAY_P90
TXN-108366,556,In-Store,9.0,PROCESSING_DELAY_P90
TXN-138211,563,Mobile,9.0,PROCESSING_DELAY_P90
TXN-112039,569,Desktop,9.0,PROCESSING_DELAY_P90
TXN-117177,574,Desktop,10.0,PROCESSING_DELAY_P90
TXN-153183,578,Desktop,9.0,PROCESSING_DELAY_P90
TXN-132803,582,In-Store,9.0,PROCESSING_DELAY_P90
TXN-134911,583,In-Store,9.0,PROCESSING_DELAY_P90
TXN-132546,588,In-Store,10.0,PROCESSING_DELAY_P90
TXN-152037,589,Desktop,10.0,PROCESSING_DELAY_P90
TXN-136262,591,Desktop,10.0,PROCESSING_DELAY_P90
TXN-103873,592,In-Store,9.0,PROCESSING_DELAY_P90
TXN-100473,593,App,10.0,PROCESSING_DELAY_P90
TXN-111398,597,Desktop,10.0,PROCESSING_DELAY_P90
TXN-111489,603,App,9.0,PROCESSING_DELAY_P90
TXN-155025,604,Mobile,9.0,PROCESSING_DELAY_P90
TXN-151196,607,App,9.0,PROCESSING_DELAY_P90
TXN-147372,608,Desktop,9.0,PROCESSING_DELAY_P90
TXN-107679,615,App,10.0,PROCESSING_DELAY_P90
TXN-110976,622,In-Store,10.0,PROCESSING_DELAY_P90
TXN-125070,631,App,9.0,PROCESSING_DELAY_P90
TXN-147374,650,Desktop,10.0,PROCESSING_DELAY_P90
TXN-110337,654,Mobile,10.0,PROCESSING_DELAY_P90
TXN-129361,655,App,10.0,PROCESSING_DELAY_P90
TXN-113519,657,Desktop,9.0,PROCESSING_DELAY_P90
TXN-136153,659,Desktop,9.0,PROCESSING_DELAY_P90
TXN-149132,662,Mobile,10.0,PROCESSING_DELAY_P90
TXN-132938,671,In-Store,10.0,PROCESSING_DELAY_P90
TXN-123988,674,Mobile,9.0,PROCESSING_DELAY_P90
TXN-112228,678,App,9.0,PROCESSING_DELAY_P90
TXN-142512,680,App,10.0,PROCESSING_DELAY_P90
TXN-106306,682,Desktop,9.0,PROCESSING_DELAY_P90
TXN-121076,689,Mobile,9.0,PROCESSING_DELAY_P90
TXN-109510,697,App,9.0,PROCESSING_DELAY_P90
TXN-127693,702,In-Store,9.0,PROCESSING_DELAY_P90
TXN-121775,708,In-Store,9.0,PROCESSING_DELAY_P90
TXN-112768,712,In-Store,10.0,PROCESSING_DELAY_P90
TXN-143617,714,App,9.0,PROCESSING_DELAY_P90
TXN-111112,717,In-Store,9.0,PROCESSING_DELAY_P90
TXN-144739,722,Mobile,9.0,PROCESSING_DELAY_P90
TXN-153364,734,App,10.0,PROCESSING_DELAY_P90
TXN-118307,735,Mobile,10.0,PROCESSING_DELAY_P90
TXN-144740,736,In-Store,9.0,PROCESSING_DELAY_P90
TXN-104571,738,Mobile,9.0,PROCESSING_DELAY_P90
TXN-112225,739,Desktop,9.0,PROCESSING_DELAY_P90
TXN-139577,743,In-Store,9.0,PROCESSING_DELAY_P90
TXN-113800,744,Desktop,10.0,PROCESSING_DELAY_P90
TXN-112308,749,Desktop,10.0,PROCESSING_DELAY_P90
TXN-123020,758,Mobile,10.0,PROCESSING_DELAY_P90
TXN-121058,760,Mobile,9.0,PROCESSING_DELAY_P90
TXN-126832,767,Mobile,9.0,PROCESSING_DELAY_P90
TXN-118654,769,In-Store,10.0,PROCESSING_DELAY_P90
TXN-141001,778,Desktop,9.0,PROCESSING_DELAY_P90
TXN-120015,790,Mobile,9.0,PROCESSING_DELAY_P90
TXN-133778,793,Desktop,10.0,PROCESSING_DELAY_P90
TXN-113300,802,Mobile,9.0,PROCESSING_DELAY_P90
TXN-132207,804,In-Store,10.0,PROCESSING_DELAY_P90
TXN-152996,805,Desktop,9.0,PROCESSING_DELAY_P90
TXN-128107,807,Desktop,9.0,PROCESSING_DELAY_P90
TXN-131114,808,Desktop,10.0,PROCESSING_DELAY_P90
TXN-126913,813,Desktop,9.0,PROCESSING_DELAY_P90
TXN-121104,816,In-Store,10.0,PROCESSING_DELAY_P90
TXN-111504,817,In-Store,9.0,PROCESSING_DELAY_P90
TXN-143717,818,In-Store,9.0,PROCESSING_DELAY_P90
TXN-128379,820,App,9.0,PROCESSING_DELAY_P90
TXN-143604,831,In-Store,9.0,PROCESSING_DELAY_P90
TXN-141147,834,Desktop,10.0,PROCESSING_DELAY_P90
TXN-123659,835,In-Store,9.0,PROCESSING_DELAY_P90
TXN-135089,845,Desktop,9.0,PROCESSING_DELAY_P90
TXN-128297,847,App,10.0,PROCESSING_DELAY_P90
TXN-133129,850,App,10.0,PROCESSING_DELAY_P90
TXN-115539,852,In-Store,9.0,PROCESSING_DELAY_P90
TXN-101544,862,App,10.0,PROCESSING_DELAY_P90
TXN-102360,864,In-Store,9.0,PROCESSING_DELAY_P90
TXN-112813,867,App,10.0,PROCESSING_DELAY_P90
TXN-140839,868,In-Store,10.0,PROCESSING_DELAY_P90
TXN-106094,875,Mobile,10.0,PROCESSING_DELAY_P90
TXN-148441,889,Desktop,10.0,PROCESSING_DELAY_P90
TXN-109694,900,In-Store,9.0,PROCESSING_DELAY_P90
TXN-108030,907,App,9.0,PROCESSING_DELAY_P90
TXN-115465,912,Desktop,10.0,PROCESSING_DELAY_P90
TXN-108657,919,Mobile,10.0,PROCESSING_DELAY_P90
TXN-134168,932,Desktop,10.0,PROCESSING_DELAY_P90
TXN-131437,950,Desktop,10.0,PROCESSING_DELAY_P90
TXN-145753,19,App,10.0,PROCESSING_DELAY_P90
TXN-119152,956,Desktop,9.0,PROCESSING_DELAY_P90
TXN-126474,965,Mobile,10.0,PROCESSING_DELAY_P90
TXN-136978,968,In-Store,10.0,PROCESSING_DELAY_P90
TXN-141363,976,Desktop,10.0,PROCESSING_DELAY_P90
TXN-149382,977,App,9.0,PROCESSING_DELAY_P90
TXN-149450,982,Mobile,10.0,PROCESSING_DELAY_P90
TXN-151619,987,Mobile,10.0,PROCESSING_DELAY_P90
TXN-150949,994,In-Store,9.0,PROCESSING_DELAY_P90
TXN-140385,998,App,9.0,PROCESSING_DELAY_P90
TXN-110847,999,App,9.0,PROCESSING_DELAY_P90
TXN-140247,1000,App,10.0,PROCESSING_DELAY_P90
TXN-153877,1009,In-Store,10.0,PROCESSING_DELAY_P90
TXN-143881,1011,Desktop,9.0,PROCESSING_DELAY_P90
TXN-135787,1014,In-Store,9.0,PROCESSING_DELAY_P90
TXN-124723,1017,Mobile,10.0,PROCESSING_DELAY_P90
TXN-124623,1018,Desktop,10.0,PROCESSING_DELAY_P90
TXN-135694,1022,Desktop,10.0,PROCESSING_DELAY_P90
TXN-146224,1024,Mobile,10.0,PROCESSING_DELAY_P90
TXN-131751,1025,In-Store,10.0,PROCESSING_DELAY_P90
TXN-147892,1026,Desktop,10.0,PROCESSING_DELAY_P90
TXN-104317,1029,App,9.0,PROCESSING_DELAY_P90
TXN-123225,1040,Mobile,9.0,PROCESSING_DELAY_P90
TXN-111192,1041,Desktop,9.0,PROCESSING_DELAY_P90
TXN-120597,1043,Mobile,9.0,PROCESSING_DELAY_P90
TXN-150935,1045,App,9.0,PROCESSING_DELAY_P90
TXN-149673,1051,In-Store,9.0,PROCESSING_DELAY_P90
TXN-129828,1062,Desktop,9.0,PROCESSING_DELAY_P90
TXN-106649,1067,Desktop,10.0,PROCESSING_DELAY_P90
TXN-143437,1073,In-Store,9.0,PROCESSING_DELAY_P90
TXN-102636,1082,App,9.0,PROCESSING_DELAY_P90
TXN-114091,1086,In-Store,9.0,PROCESSING_DELAY_P90
TXN-149912,1087,Mobile,9.0,PROCESSING_DELAY_P90
TXN-124393,1090,Desktop,10.0,PROCESSING_DELAY_P90
TXN-122138,1093,In-Store,10.0,PROCESSING_DELAY_P90
TXN-113884,1102,App,9.0,PROCESSING_DELAY_P90
TXN-122499,1123,App,10.0,PROCESSING_DELAY_P90
TXN-111680,1133,Desktop,10.0,PROCESSING_DELAY_P90
TXN-125799,1139,In-Store,10.0,PROCESSING_DELAY_P90
TXN-102979,1144,Desktop,9.0,PROCESSING_DELAY_P90
TXN-129328,1146,Desktop,10.0,PROCESSING_DELAY_P90
TXN-132680,1147,Mobile,10.0,PROCESSING_DELAY_P90
TXN-149787,1152,Mobile,10.0,PROCESSING_DELAY_P90
TXN-151663,1163,Desktop,9.0,PROCESSING_DELAY_P90
TXN-139219,1168,Mobile,10.0,PROCESSING_DELAY_P90
TXN-123071,1172,Mobile,9.0,PROCESSING_DELAY_P90
TXN-107928,1180,Desktop,10.0,PROCESSING_DELAY_P90
TXN-130323,1181,In-Store,9.0,PROCESSING_DELAY_P90
TXN-120354,1189,In-Store,10.0,PROCESSING_DELAY_P90
TXN-150453,1200,App,9.0,PROCESSING_DELAY_P90
TXN-144433,1211,Desktop,9.0,PROCESSING_DELAY_P90
TXN-102606,1231,Desktop,10.0,PROCESSING_DELAY_P90
TXN-122452,1244,Mobile,10.0,PROCESSING_DELAY_P90
TXN-103803,1246,Desktop,9.0,PROCESSING_DELAY_P90
TXN-102929,1256,App,9.0,PROCESSING_DELAY_P90
TXN-142480,1274,Desktop,9.0,PROCESSING_DELAY_P90
TXN-107874,1285,Desktop,9.0,PROCESSING_DELAY_P90
TXN-112138,1287,Mobile,10.0,PROCESSING_DELAY_P90
TXN-105190,1293,App,10.0,PROCESSING_DELAY_P90
TXN-100845,19,Mobile,10.0,PROCESSING_DELAY_P90
TXN-121347,1300,App,9.0,PROCESSING_DELAY_P90
TXN-154701,1303,Desktop,9.0,PROCESSING_DELAY_P90
TXN-106943,1310,App,10.0,PROCESSING_DELAY_P90
TXN-137092,1316,Mobile,9.0,PROCESSING_DELAY_P90
TXN-135363,1320,Mobile,9.0,PROCESSING_DELAY_P90
TXN-145549,1321,In-Store,9.0,PROCESSING_DELAY_P90
TXN-137548,1323,App,9.0,PROCESSING_DELAY_P90
TXN-153809,1324,Desktop,9.0,PROCESSING_DELAY_P90
TXN-115147,1339,Mobile,10.0,PROCESSING_DELAY_P90
TXN-106632,1342,Mobile,10.0,PROCESSING_DELAY_P90
TXN-137579,1351,In-Store,9.0,PROCESSING_DELAY_P90
TXN-138843,1353,Mobile,10.0,PROCESSING_DELAY_P90
TXN-128051,1357,Desktop,10.0,PROCESSING_DELAY_P90
TXN-137067,1366,In-Store,9.0,PROCESSING_DELAY_P90
TXN-100493,1374,Mobile,10.0,PROCESSING_DELAY_P90
TXN-103343,1388,App,10.0,PROCESSING_DELAY_P90
TXN-152371,1392,App,10.0,PROCESSING_DELAY_P90
TXN-129149,1393,App,9.0,PROCESSING_DELAY_P90
TXN-112651,1394,Mobile,9.0,PROCESSING_DELAY_P90
TXN-100818,1397,App,9.0,PROCESSING_DELAY_P90
TXN-128026,1401,Desktop,9.0,PROCESSING_DELAY_P90
TXN-135589,1405,In-Store,10.0,PROCESSING_DELAY_P90
TXN-152302,1413,App,9.0,PROCESSING_DELAY_P90
TXN-104398,1418,Desktop,10.0,PROCESSING_DELAY_P90
TXN-135247,1420,In-Store,10.0,PROCESSING_DELAY_P90
TXN-141038,1422,App,10.0,PROCESSING_DELAY_P90
TXN-110293,1425,Mobile,10.0,PROCESSING_DELAY_P90
TXN-135395,1430,In-Store,10.0,PROCESSING_DELAY_P90
TXN-109926,1431,Mobile,9.0,PROCESSING_DELAY_P90
TXN-103484,1432,Desktop,10.0,PROCESSING_DELAY_P90
TXN-124763,1439,Mobile,10.0,PROCESSING_DELAY_P90
TXN-146558,1442,Mobile,9.0,PROCESSING_DELAY_P90
TXN-120134,1447,App,9.0,PROCESSING_DELAY_P90
TXN-152551,19,Desktop,10.0,PROCESSING_DELAY_P90
TXN-111611,1459,Desktop,9.0,PROCESSING_DELAY_P90
TXN-109697,1463,App,9.0,PROCESSING_DELAY_P90
TXN-154282,1472,Desktop,9.0,PROCESSING_DELAY_P90
TXN-150896,1478,Desktop,10.0,PROCESSING_DELAY_P90
TXN-111492,1480,App,9.0,PROCESSING_DELAY_P90
TXN-113468,1491,Desktop,9.0,PROCESSING_DELAY_P90
TXN-147867,1492,Mobile,10.0,PROCESSING_DELAY_P90
TXN-148785,1494,Mobile,10.0,PROCESSING_DELAY_P90
TXN-146253,1496,Desktop,10.0,PROCESSING_DELAY_P90
TXN-153230,1501,App,9.0,PROCESSING_DELAY_P90
TXN-152662,1506,Mobile,9.0,PROCESSING_DELAY_P90
TXN-147458,1508,App,9.0,PROCESSING_DELAY_P90
TXN-124092,19,App,9.0,PROCESSING_DELAY_P90
TXN-141903,1513,App,9.0,PROCESSING_DELAY_P90
TXN-135595,1515,In-Store,9.0,PROCESSING_DELAY_P90
TXN-112284,1526,App,9.0,PROCESSING_DELAY_P90
TXN-127672,1529,Desktop,9.0,PROCESSING_DELAY_P90
TXN-125762,1530,In-Store,9.0,PROCESSING_DELAY_P90
TXN-108498,1536,Mobile,10.0,PROCESSING_DELAY_P90
TXN-117091,19,In-Store,9.0,PROCESSING_DELAY_P90
TXN-114196,1551,Desktop,10.0,PROCESSING_DELAY_P90
TXN-137785,1558,Mobile,10.0,PROCESSING_DELAY_P90
TXN-141337,1568,Desktop,10.0,PROCESSING_DELAY_P90
TXN-100796,1573,Desktop,9.0,PROCESSING_DELAY_P90
TXN-142439,1574,In-Store,10.0,PROCESSING_DELAY_P90
TXN-137094,1575,App,9.0,PROCESSING_DELAY_P90
TXN-124752,1582,In-Store,10.0,PROCESSING_DELAY_P90
TXN-151027,1584,Desktop,10.0,PROCESSING_DELAY_P90
TXN-125742,1591,In-Store,10.0,PROCESSING_DELAY_P90
TXN-134192,1597,Mobile,10.0,PROCESSING_DELAY_P90
TXN-130081,1603,App,9.0,PROCESSING_DELAY_P90
TXN-149197,1605,App,9.0,PROCESSING_DELAY_P90
TXN-108661,1608,Desktop,10.0,PROCESSING_DELAY_P90
TXN-113159,1613,Desktop,10.0,PROCESSING_DELAY_P90
TXN-135573,1614,Desktop,10.0,PROCESSING_DELAY_P90
TXN-131022,1616,In-Store,10.0,PROCESSING_DELAY_P90
TXN-129325,1632,In-Store,10.0,PROCESSING_DELAY_P90
TXN-131088,1635,App,9.0,PROCESSING_DELAY_P90
TXN-103771,1636,Desktop,9.0,PROCESSING_DELAY_P90
TXN-103836,1639,Desktop,10.0,PROCESSING_DELAY_P90
TXN-137810,1646,In-Store,10.0,PROCESSING_DELAY_P90
TXN-103694,1649,App,9.0,PROCESSING_DELAY_P90
TXN-101832,1651,In-Store,10.0,PROCESSING_DELAY_P90
TXN-127703,1655,Desktop,10.0,PROCESSING_DELAY_P90
TXN-121637,1659,App,10.0,PROCESSING_DELAY_P90
TXN-132550,1661,In-Store,9.0,PROCESSING_DELAY_P90
TXN-144965,1666,App,9.0,PROCESSING_DELAY_P90
TXN-119484,1668,Desktop,10.0,PROCESSING_DELAY_P90
TXN-105915,19,Desktop,9.0,PROCESSING_DELAY_P90
TXN-142517,1696,Mobile,9.0,PROCESSING_DELAY_P90
TXN-143028,1703,App,10.0,PROCESSING_DELAY_P90
TXN-133597,1707,Desktop,9.0,PROCESSING_DELAY_P90
TXN-121062,1710,Mobile,9.0,PROCESSING_DELAY_P90
TXN-109303,1712,Desktop,9.0,PROCESSING_DELAY_P90
TXN-118215,1713,In-Store,9.0,PROCESSING_DELAY_P90
TXN-107163,1723,In-Store,9.0,PROCESSING_DELAY_P90
TXN-105221,1725,Desktop,9.0,PROCESSING_DELAY_P90
TXN-118975,1729,Mobile,10.0,PROCESSING_DELAY_P90
TXN-115628,1737,In-Store,10.0,PROCESSING_DELAY_P90
TXN-105582,1738,Desktop,10.0,PROCESSING_DELAY_P90
TXN-133098,1739,Desktop,10.0,PROCESSING_DELAY_P90
TXN-136243,1744,In-Store,9.0,PROCESSING_DELAY_P90
TXN-137763,19,Desktop,10.0,PROCESSING_DELAY_P90
TXN-122727,1755,In-Store,10.0,PROCESSING_DELAY_P90
TXN-113217,1756,App,10.0,PROCESSING_DELAY_P90
TXN-106920,1757,Desktop,10.0,PROCESSING_DELAY_P90
TXN-117515,1758,In-Store,9.0,PROCESSING_DELAY_P90
TXN-131700,1759,Desktop,9.0,PROCESSING_DELAY_P90
TXN-121121,1761,Desktop,9.0,PROCESSING_DELAY_P90
TXN-146681,1762,In-Store,10.0,PROCESSING_DELAY_P90
TXN-125497,1765,App,9.0,PROCESSING_DELAY_P90
TXN-121361,1779,Mobile,9.0,PROCESSING_DELAY_P90
TXN-139123,1788,Mobile,10.0,PROCESSING_DELAY_P90
TXN-133730,1791,Desktop,9.0,PROCESSING_DELAY_P90
TXN-117824,1793,Mobile,9.0,PROCESSING_DELAY_P90
TXN-112306,1807,In-Store,10.0,PROCESSING_DELAY_P90
TXN-116951,1814,In-Store,10.0,PROCESSING_DELAY_P90
TXN-104897,1818,Mobile,10.0,PROCESSING_DELAY_P90
TXN-140119,1830,Desktop,10.0,PROCESSING_DELAY_P90
TXN-102709,1832,Desktop,10.0,PROCESSING_DELAY_P90
TXN-105859,19,App,9.0,PROCESSING_DELAY_P90
TXN-115936,1852,App,10.0,PROCESSING_DELAY_P90
TXN-112705,1857,Desktop,9.0,PROCESSING_DELAY_P90
TXN-134813,1861,In-Store,9.0,PROCESSING_DELAY_P90
TXN-124109,1868,In-Store,10.0,PROCESSING_DELAY_P90
TXN-108847,1870,App,9.0,PROCESSING_DELAY_P90
TXN-107436,1871,Mobile,10.0,PROCESSING_DELAY_P90
TXN-141146,1882,In-Store,9.0,PROCESSING_DELAY_P90
TXN-142354,1894,In-Store,9.0,PROCESSING_DELAY_P90
TXN-114372,1899,App,10.0,PROCESSING_DELAY_P90
TXN-153680,1906,Desktop,9.0,PROCESSING_DELAY_P90
TXN-146549,1911,App,9.0,PROCESSING_DELAY_P90
TXN-119689,1914,Desktop,9.0,PROCESSING_DELAY_P90
TXN-133547,1921,App,9.0,PROCESSING_DELAY_P90
TXN-139026,1926,In-Store,10.0,PROCESSING_DELAY_P90
TXN-119343,1927,In-Store,9.0,PROCESSING_DELAY_P90
TXN-120882,1939,Desktop,10.0,PROCESSING_DELAY_P90
TXN-126870,1940,In-Store,10.0,PROCESSING_DELAY_P90
TXN-145714,1949,Mobile,9.0,PROCESSING_DELAY_P90
TXN-119574,1950,Desktop,10.0,PROCESSING_DELAY_P90
TXN-138378,1951,App,9.0,PROCESSING_DELAY_P90
TXN-110173,1957,Desktop,10.0,PROCESSING_DELAY_P90
TXN-134094,1980,Mobile,10.0,PROCESSING_DELAY_P90
TXN-134120,1983,In-Store,9.0,PROCESSING_DELAY_P90
TXN-143108,1984,Mobile,10.0,PROCESSING_DELAY_P90
TXN-131195,1988,App,9.0,PROCESSING_DELAY_P90
TXN-134244,1990,In-Store,10.0,PROCESSING_DELAY_P90
TXN-130218,1997,In-Store,9.0,PROCESSING_DELAY_P90
TXN-152465,1998,App,10.0,PROCESSING_DELAY_P90
TXN-139463,2020,Desktop,10.0,PROCESSING_DELAY_P90
TXN-148208,2024,In-Store,10.0,PROCESSING_DELAY_P90
TXN-100076,2027,Desktop,10.0,PROCESSING_DELAY_P90
TXN-146721,2031,Mobile,9.0,PROCESSING_DELAY_P90
TXN-105602,2033,Desktop,9.0,PROCESSING_DELAY_P90
TXN-122461,2034,Mobile,9.0,PROCESSING_DELAY_P90
TXN-153841,2042,App,10.0,PROCESSING_DELAY_P90
TXN-122778,2054,Mobile,10.0,PROCESSING_DELAY_P90
TXN-135763,2060,In-Store,9.0,PROCESSING_DELAY_P90
TXN-130343,2062,App,10.0,PROCESSING_DELAY_P90
TXN-103181,2067,Mobile,9.0,PROCESSING_DELAY_P90
TXN-106967,2070,App,9.0,PROCESSING_DELAY_P90
TXN-110113,2074,Desktop,10.0,PROCESSING_DELAY_P90
TXN-110058,2075,Mobile,9.0,PROCESSING_DELAY_P90
TXN-134096,2084,Desktop,9.0,PROCESSING_DELAY_P90
TXN-143349,2102,App,9.0,PROCESSING_DELAY_P90
TXN-141942,2106,Mobile,10.0,PROCESSING_DELAY_P90
TXN-135743,2116,App,9.0,PROCESSING_DELAY_P90
TXN-136583,2125,App,10.0,PROCESSING_DELAY_P90
TXN-141824,2127,Desktop,9.0,PROCESSING_DELAY_P90
TXN-100209,2138,Mobile,9.0,PROCESSING_DELAY_P90
TXN-100059,2141,Mobile,10.0,PROCESSING_DELAY_P90
TXN-148272,2151,App,10.0,PROCESSING_DELAY_P90
TXN-137752,2157,In-Store,10.0,PROCESSING_DELAY_P90
TXN-143713,2158,Desktop,9.0,PROCESSING_DELAY_P90
TXN-128766,2161,Mobile,10.0,PROCESSING_DELAY_P90
